InChIKey,smiles_canon,LogS,occurence,solvent_id,solute_id,hybrid_class
ZWKNLRXFUTWSOY-QPJJXVBHSA-N,N#CC=Cc1ccccc1,-2.082963617,1.0,solvent_844,solute_2133,"polar,small"
MZRUFMBFIKGOAL-UHFFFAOYSA-N,O=[N+]([O-])c1ccn[nH]1,-1.285471285,1.0,solvent_844,solute_2134,"polar,small"
AGMZSYQMSHMXLT-SCSAIBSYSA-N,CC(N)CCO,1.049941987,1.0,solvent_844,solute_2135,"polar,small"
GWQOYRSARAWVTC-UHFFFAOYSA-N,CC(C)(C)OOC(C)(C)c1ccc(C(C)(C)OOC(C)(C)C)cc1,-6.927480976,1.0,solvent_844,solute_2136,"polar,large"
BWLUMTFWVZZZND-UHFFFAOYSA-N,c1ccc(CNCc2ccccc2)cc1,-2.687626275,1.0,solvent_844,solute_2137,"non-polar,small"
VQAZCUCWHIIFGE-UHFFFAOYSA-N,CCOC(=O)C(CC)C(=O)OCC,-1.770408491,1.0,solvent_844,solute_2138,"polar,small"
VFGRALUHHHDIQI-UHFFFAOYSA-N,CCCCOC(=O)CO,-0.458338912,1.0,solvent_844,solute_2139,"polar,small"
OALYTRUKMRCXNH-QMMMGPOBSA-N,CCCCCC1CCC(=O)O1,-1.855291816,1.0,solvent_844,solute_2140,"polar,small"
JBFHTYHTHYHCDJ-UHFFFAOYSA-N,CCC1CCC(=O)O1,-0.170961602,1.0,solvent_844,solute_2141,"polar,small"
OPECTNGATDYLSS-UHFFFAOYSA-N,O=S(=O)(Cl)c1ccc2ccccc2c1,-2.742835694,1.0,solvent_844,solute_2142,"polar,small"
NTPLXRHDUXRPNE-UHFFFAOYSA-N,COc1ccc(C(C)=O)cc1,-1.936803028,1.0,solvent_844,solute_2143,"polar,small"
ZGQVZLSNEBEHFN-UHFFFAOYSA-N,Cc1ccc(-c2ccccc2C#N)cc1,-4.43483868,1.0,solvent_844,solute_2144,"polar,small"
YLHXLHGIAMFFBU-UHFFFAOYSA-N,COC(=O)C(=O)c1ccccc1,-1.914238406,1.0,solvent_844,solute_2145,"polar,small"
XNSDNLHVCQYSOC-UHFFFAOYSA-N,CCc1ccc(-c2ccc(B(O)O)c(F)c2)cc1,-4.008756429,1.0,solvent_844,solute_2146,"polar,small"
WDTRKHSHZIJORU-UHFFFAOYSA-N,O=[N+]([O-])c1cc(Cl)c(OC(F)(F)C(F)C(F)(F)F)cc1Cl,-4.805724113,1.0,solvent_844,solute_2147,"polar,large"
NNWHUJCUHAELCL-SNAWJCMRSA-N,CC=Cc1ccc(OC)c(OC)c1,-2.778225332,1.0,solvent_844,solute_2148,"non-polar,small"
CEXQWAAGPPNOQF-UHFFFAOYSA-N,C=C(C)C(=O)OCCOc1ccccc1,-2.952646749,1.0,solvent_844,solute_2149,"polar,small"
HVGZQCSMLUDISR-UHFFFAOYSA-N,CCC(=O)OCCc1ccccc1,-3.117442873,1.0,solvent_844,solute_2150,"polar,small"
IDAIRHGYBSBTJO-UHFFFAOYSA-N,C=CCCC(=O)Oc1ccccc1,-2.71584219,1.0,solvent_844,solute_2151,"polar,small"
IUTMJBMTEOTFKB-UHFFFAOYSA-N,FC(F)(F)COc1cccnc1Cl,-2.149364469,1.0,solvent_844,solute_2152,"polar,small"
HWCUCNKPBMGSSC-UHFFFAOYSA-N,C=C(OC(C)=O)c1ccccc1,-2.113594852,1.0,solvent_844,solute_2153,"polar,small"
RZVINYQDSSQUKO-UHFFFAOYSA-N,C=CC(=O)OCCOc1ccccc1,-2.563625713,1.0,solvent_844,solute_2154,"polar,small"
JIKUXBYRTXDNIY-UHFFFAOYSA-N,CN(C=O)c1ccccc1,-1.494778376,1.0,solvent_844,solute_2155,"polar,small"
GXYDISAHHSQZRO-UHFFFAOYSA-N,CC(=O)OCC(C)(C)C=O,-0.386553192,1.0,solvent_844,solute_2156,"polar,small"
NVIGFYPVKZNNAZ-UHFFFAOYSA-N,CCCCOc1ccc(B(O)O)c(F)c1F,-3.714378286,1.0,solvent_844,solute_2157,"polar,small"
RLEFOSDUWZYGOS-UHFFFAOYSA-N,CC(C)c1ccc(CCC=O)cc1,-3.302653829,1.0,solvent_844,solute_2158,"non-polar,small"
YDQLGNDCYHZHEE-UHFFFAOYSA-N,CCOC(OCC)c1ccc2c(c1)OCO2,-1.626468202,1.0,solvent_844,solute_2159,"polar,small"
BQPBZDSDFCDSAO-UHFFFAOYSA-N,OCCOc1ccc2ccccc2c1,-2.714293767,1.0,solvent_844,solute_2160,"polar,small"
NPSJHQMIVNJLNN-UHFFFAOYSA-N,CCCCC(CC)COC(=O)c1ccc([N+](=O)[O-])cc1,-5.29999763,1.0,solvent_844,solute_2161,"polar,small"
GHBSPIPJMLAMEP-UHFFFAOYSA-N,CCCCCC1CCCC(=O)O1,-1.647656238,1.0,solvent_844,solute_2162,"polar,small"
BWJUFXUULUEGMA-UHFFFAOYSA-N,CC(C)OC(=O)OOC(=O)OC(C)C,-3.829978291,1.0,solvent_844,solute_2163,"polar,small"
WLLGXSLBOPFWQV-UHFFFAOYSA-N,CCCCC(CC)CN1C(=O)C2C3C=CC(C3)C2C1=O,-4.263856907,1.0,solvent_844,solute_2164,"polar,small"
DEQZTKGFXNUBJL-UHFFFAOYSA-N,c1ccc2sc(SNC3CCCCC3)nc2c1,-5.917116072,1.0,solvent_844,solute_2165,"polar,small"
ZUXNULGHCOXCFL-UHFFFAOYSA-N,Cc1cc(C(C)(C)C)cc(C)c1CC#N,-4.701805358,1.0,solvent_844,solute_2166,"polar,small"
FGERRMPOTZKDOB-UHFFFAOYSA-N,C=C(C)C(=O)OCCN1CCOC1,-0.577497427,1.0,solvent_844,solute_2167,"polar,small"
ALWUKGXLBSQSMA-UHFFFAOYSA-N,CCCCCCC1(C)CCC(=O)O1,-2.643258996,1.0,solvent_844,solute_2168,"polar,small"
AGEFUZCBLJQXIA-UHFFFAOYSA-N,CCCOC(=O)C1CCCCC1C(=O)OCCC,-3.262690377,1.0,solvent_844,solute_2169,"polar,small"
QAOJBHRZQQDFHA-UHFFFAOYSA-N,O=C(O)c1cccc(Cl)c1Cl,-2.331673828,1.0,solvent_844,solute_2170,"polar,small"
PQMRKLSVUBRLLQ-XSYGEPLQSA-N,CCC12CCC3C4=C(CCC3C1CCC2=O)CC(OC)=CC4,-5.363814401,1.0,solvent_844,solute_2171,"polar,large"
XROXSXGRRMHJFJ-UHFFFAOYSA-N,CC(O)CSCCCCCCCCC(C)(C)C,-4.730924353,1.0,solvent_844,solute_2172,"polar,small"
JQVAPEJNIZULEK-UHFFFAOYSA-N,Oc1ccc(Cl)c(O)c1,-1.070568545,1.0,solvent_844,solute_2173,"polar,small"
PKHMTIRCAFTBDS-UHFFFAOYSA-N,CCCCCC(=O)OC(=O)CCCCC,-4.296803016,1.0,solvent_844,solute_2174,"polar,small"
WKTJXDHLMJKSGI-UHFFFAOYSA-N,C1=CCC(C2OCC3(CO2)COC(C2CC=CCC2)OC3)CC1,-3.204700192,1.0,solvent_844,solute_2175,"polar,large"
GVJHHUAWPYXKBD-IEOSBIPESA-N,Cc1c(C)c2c(c(C)c1O)CCC(C)(CCCC(C)CCCC(C)CCCC(C)C)O2,-8.520244426,1.0,solvent_844,solute_2176,"polar,large"
RHDWCSIBVZKRRU-UHFFFAOYSA-N,CCCCCCCCNc1ccncc1,-4.20735283,1.0,solvent_844,solute_2177,"polar,small"
FTALTLPZDVFJSS-UHFFFAOYSA-N,C=CC(=O)OCCOCCOCC,-0.181251006,1.0,solvent_844,solute_2178,"polar,small"
VILGDADBAQFRJE-UHFFFAOYSA-N,CC(C)(C)N(Sc1nc2ccccc2s1)Sc1nc2ccccc2s1,-8.362904931,1.0,solvent_844,solute_2179,"polar,large"
FQXGHZNSUOHCLO-UHFFFAOYSA-N,CC1(C)C(O)C(C)(C)C1O,-0.373675179,1.0,solvent_844,solute_2180,"polar,small"
OBKSFBWOZSQGGC-UHFFFAOYSA-N,CCOc1ccc(B(O)O)c(F)c1F,-3.143906176,1.0,solvent_844,solute_2181,"polar,small"
SLCVBVWXLSEKPL-UHFFFAOYSA-N,CC(C)(CO)CO,0.901424656,1.0,solvent_844,solute_2182,"polar,small"
LCXXNKZQVOXMEH-UHFFFAOYSA-N,C=C(C)C(=O)OCC1CCCO1,-0.952454494,1.0,solvent_844,solute_2183,"polar,small"
XXSCONYSQQLHTH-UHFFFAOYSA-N,OCC1c2ccccc2-c2ccccc21,-1.267499817,1.0,solvent_844,solute_2184,"polar,small"
SOOLDKUMSVNBIW-UHFFFAOYSA-N,Nc1cc(Cl)ccc1Oc1ccc(Cl)cc1Cl,-5.045263233,1.0,solvent_844,solute_2185,"polar,small"
QUKHPBOCBWDYMW-UHFFFAOYSA-N,CC(C)COC(=O)C1CCCCC1C(=O)OCC(C)C,-4.191233307,1.0,solvent_844,solute_2186,"polar,small"
XFFZLECPCHQJIR-GFEQUFNTSA-N,COC1=CCC2=C(CCC3C2CCC2(C)C(O)CCC32)C1,-4.76106892,1.0,solvent_844,solute_2187,"polar,small"
OZJPLYNZGCXSJM-UHFFFAOYSA-N,O=C1CCCCO1,0.999492172,1.0,solvent_844,solute_2188,"polar,small"
ONPVMQLRVWKFFL-UHFFFAOYSA-N,O=C(OCCCc1ccccc1)c1ccccc1,-4.800972343,1.0,solvent_844,solute_2189,"polar,small"
UZFMOKQJFYMBGY-UHFFFAOYSA-N,CC1(C)CC(O)CC(C)(C)N1[O],0.562706822,1.0,solvent_844,solute_2190,"polar,small"
QUEDXNHFTDJVIY-UHFFFAOYSA-N,Cc1c(O)cc2c(c1C)OC(C)(CCCC(C)CCCC(C)CCCC(C)C)CC2,-8.505865557,1.0,solvent_844,solute_2191,"polar,large"
AZQAIRJYCUWZPD-SLHNCBLASA-N,COc1ccc2c(c1)CCC1C2CCC2(C)C1CCC2(C)O,-3.027662677,1.0,solvent_844,solute_2192,"polar,large"
KEQFTVQCIQJIQW-UHFFFAOYSA-N,c1ccc(Nc2ccc3ccccc3c2)cc1,-5.495911677,1.0,solvent_844,solute_2193,"non-polar,small"
MSFLYJIWLHSQLG-UHFFFAOYSA-N,O=C1CCC2CCCCC2O1,-0.586558636,1.0,solvent_844,solute_2194,"polar,small"
VUFZVGQUAVDKMC-UHFFFAOYSA-N,C=CCOC(=O)COc1ccccc1,-2.536373209,1.0,solvent_844,solute_2195,"polar,small"
FYTRVXSHONWYNE-UHFFFAOYSA-N,CCCC1CCCC(=O)O1,-0.948771673,1.0,solvent_844,solute_2196,"polar,small"
LECMBPWEOVZHKN-UHFFFAOYSA-N,OCCOCCCl,-0.250304617,1.0,solvent_844,solute_2197,"polar,small"
BKHZQJRTFNFCTG-UHFFFAOYSA-N,Cc1ccccc1OP(Oc1ccccc1C)Oc1ccccc1C,-7.779841705,1.0,solvent_844,solute_2198,"polar,large"
SJZKULRDWHPHGG-UHFFFAOYSA-N,O=C1CCN(Cc2ccccc2)CC1,-1.016979646,1.0,solvent_844,solute_2199,"polar,small"
BTRWELPXUDWAGW-UHFFFAOYSA-N,CC(C)CC(C)(O)CCC(C)(O)CC(C)C,-2.132014326,1.0,solvent_844,solute_2200,"polar,small"
AFJWMGOTLUUGHF-UHFFFAOYSA-N,O=C1NC(=O)C2=C1CCCC2,-1.974516577,1.0,solvent_844,solute_2201,"polar,small"
FZUGPQWGEGAKET-UHFFFAOYSA-N,CCOC(=O)c1ccc(N(C)C)cc1,-3.399617541,1.0,solvent_844,solute_2202,"polar,small"
ZJNLYGOUHDJHMG-UHFFFAOYSA-N,CC(C)CCC(C)Nc1ccc(NC(C)CCC(C)C)cc1,-5.580522697,1.0,solvent_844,solute_2203,"polar,large"
YQIGLEFUZMIVHU-UHFFFAOYSA-N,C=C(C)C(=O)NC(C)C,-0.620138787,1.0,solvent_844,solute_2204,"polar,small"
XNMJQRPYVCIXGZ-UHFFFAOYSA-N,C=CC(=O)OCCOCCOCC(CC)CCCC,-3.693242197,1.0,solvent_844,solute_2205,"polar,small"
CYJLFSMDQYFKRD-UHFFFAOYSA-N,CCCCC(CC)CNC(=O)CCCCCC(C)C,-5.731539773,1.0,solvent_844,solute_2206,"polar,small"
NRKYWOKHZRQRJR-UHFFFAOYSA-N,NC(=O)C(F)(F)F,-1.485026967,1.0,solvent_844,solute_2207,"polar,small"
YDFBIBUYOUFJMR-UHFFFAOYSA-N,CCC1C(=O)CCC1=O,-1.078475408,1.0,solvent_844,solute_2208,"polar,small"
RPNFNBGRHCUORR-UHFFFAOYSA-N,CCCCC(C(=O)OCC)C(=O)OCC,-2.816495594,1.0,solvent_844,solute_2209,"polar,small"
JTDBXHIIVZZXDH-UHFFFAOYSA-N,C#CCOC(=O)NCCCC,-1.500667653,1.0,solvent_844,solute_2210,"polar,small"
LOKPJYNMYCVCRM-UHFFFAOYSA-N,O=C1CCCCCCCCCCCCCCCO1,-6.392700026,1.0,solvent_844,solute_2211,"polar,small"
QBDSZLJBMIMQRS-UHFFFAOYSA-N,CC(C)(c1ccccc1)c1ccc(O)cc1,-4.071658669,1.0,solvent_844,solute_2212,"polar,small"
FPCCDPXRNNVUOM-UHFFFAOYSA-N,CC(CCO)CCCC(C)(C)O,-0.762687535,1.0,solvent_844,solute_2213,"polar,small"
STGXUBIZGYMIRM-UHFFFAOYSA-N,C=CC(=O)OCC1(CC)COCOC1,-1.333054875,1.0,solvent_844,solute_2214,"polar,small"
WNZQDUSMALZDQF-UHFFFAOYSA-N,O=C1OCc2ccccc21,-0.8627217,1.0,solvent_844,solute_2215,"polar,small"
NIDFGXDXQKPZMA-UHFFFAOYSA-N,O=c1c2cccc3cccc(c32)c2nc3cccc4cccc(c43)n12,-7.464231501,1.0,solvent_844,solute_2216,"polar,large"
SJJISKLXUJVZOA-UHFFFAOYSA-N,CCN(CC)c1ccc(N=Nc2ccccc2)cc1,-5.982110468,1.0,solvent_844,solute_2217,"polar,small"
OMNWKPZIFZJANV-UHFFFAOYSA-N,O=[N+]([O-])c1ccccc1-c1ccc(Cl)cc1,-4.937208898,1.0,solvent_844,solute_2218,"polar,small"
OSORMYZMWHVFOZ-UHFFFAOYSA-N,O=C(OCCc1ccccc1)c1ccccc1,-4.019177521,1.0,solvent_844,solute_2219,"polar,small"
MEHLEOUIWVWVBF-UHFFFAOYSA-N,C=CC(C#N)OC(C)=O,-0.898704358,1.0,solvent_844,solute_2220,"polar,small"
BGNGWHSBYQYVRX-UHFFFAOYSA-N,CN(C)c1ccc(C=O)cc1,-2.282765939,1.0,solvent_844,solute_2221,"polar,small"
XXMIOPMDWAUFGU-UHFFFAOYSA-N,OCCCCCCO,0.927472919,1.0,solvent_844,solute_2222,"polar,small"
GOMAKLPNAAZVCJ-UHFFFAOYSA-N,CCOC(=O)C1OC1c1ccccc1,-2.409651238,1.0,solvent_844,solute_2223,"polar,small"
SFNALCNOMXIBKG-UHFFFAOYSA-N,CCCCCCCCCCCCOCCO,-1.459373261,1.0,solvent_844,solute_2224,"polar,small"
HVLLSGMXQDNUAL-UHFFFAOYSA-N,c1ccc(OP(Oc2ccccc2)Oc2ccccc2)cc1,-6.523282731,1.0,solvent_844,solute_2225,"polar,large"
LNODIGSABOGNBQ-UHFFFAOYSA-N,CCC(C)C(=O)N(C)c1ccccc1,-1.58057588,1.0,solvent_844,solute_2226,"polar,small"
FZQMJOOSLXFQSU-UHFFFAOYSA-N,CN(C)CCCN1CN(CCCN(C)C)CN(CCCN(C)C)C1,0.236102684,1.0,solvent_844,solute_2227,"non-polar,large"
ZVDSMYGTJDFNHN-UHFFFAOYSA-N,Cc1cc(C)c(N)c(C)c1N,-0.820710574,1.0,solvent_844,solute_2228,"polar,small"
IDGRPSMONFWWEK-UHFFFAOYSA-N,CCCCC(CC)COC(=O)COc1ccc(Cl)cc1C,-5.453923623,1.0,solvent_844,solute_2229,"polar,large"
JZODKRWQWUWGCD-UHFFFAOYSA-N,CC(C)(C)c1cc(O)c(C(C)(C)C)cc1O,-4.76720783,1.0,solvent_844,solute_2230,"polar,small"
PCBSXBYCASFXTM-UHFFFAOYSA-N,COc1ccc(CCC(C)=O)cc1,-1.918543322,1.0,solvent_844,solute_2231,"polar,small"
AXLMPTNTPOWPLT-UHFFFAOYSA-N,C=CCOC(=O)CC(C)=O,-3.249669709,1.0,solvent_844,solute_2232,"polar,small"
WPFVBOQKRVRMJB-UHFFFAOYSA-N,CC(CC=O)CCCC(C)(C)O,-0.692133542,1.0,solvent_844,solute_2233,"polar,small"
QRPLZGZHJABGRS-UHFFFAOYSA-N,CCCCCCCC1CCCC(=O)O1,-3.448325136,1.0,solvent_844,solute_2234,"polar,small"
GSIXJEIRJVOUFB-UHFFFAOYSA-N,CCOC(=O)CC1(C)OCC(C)O1,-2.179887223,1.0,solvent_844,solute_2235,"polar,small"
SHSGDXCJYVZFTP-UHFFFAOYSA-N,CCOc1ccc(C(=O)O)cc1,-2.454900269,1.0,solvent_844,solute_2236,"polar,small"
QNDGQRJVVZJMJO-UHFFFAOYSA-N,CCCCCCCCCCCC1=NCCN1CCO,-3.89865012,1.0,solvent_844,solute_2237,"polar,small"
KCMITHMNVLRGJU-UHFFFAOYSA-N,C=CCOC(=O)C=Cc1ccccc1,-3.287012425,1.0,solvent_844,solute_2238,"polar,small"
YSLFJMFSTOJEDL-UHFFFAOYSA-N,CCCCC(CC)COC(=O)CCc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1,-7.114616544,1.0,solvent_844,solute_2239,"polar,large"
GRIATXVEXOFBGO-UHFFFAOYSA-N,Cc1cccc2sc(N)nc12,-2.513870228,1.0,solvent_844,solute_2240,"polar,small"
YMGHPIVBMBXPCR-NXVVXOECSA-N,CCCCCCCCC=CCCCCCCCC(=O)N(CCCC)CCCC,-4.788979925,1.0,solvent_844,solute_2241,"polar,large"
FZCQMIRJCGWWCL-UHFFFAOYSA-N,Nc1ccc(Cl)cc1O,-2.390658416,1.0,solvent_844,solute_2242,"polar,small"
FSXGJIFBTBJMHV-UHFFFAOYSA-N,c1ccc(CN2CCC(Nc3ccccc3)CC2)cc1,-3.954218381,1.0,solvent_844,solute_2243,"non-polar,small"
IUJMYVYPSSBPCX-UHFFFAOYSA-N,O=C1CCC(C2CCC(c3ccc(F)c(F)c3)CC2)CC1,-5.863869846,1.0,solvent_844,solute_2244,"non-polar,small"
WKBQQWDVVHGWDB-UHFFFAOYSA-N,OCc1cncs1,0.525763444,1.0,solvent_844,solute_2245,"polar,small"
HXZILEQYFQYQCE-UHFFFAOYSA-N,CC1C(=O)CCC1=O,-1.134419793,1.0,solvent_844,solute_2246,"polar,small"
OTLDLKLSNZMTTA-UHFFFAOYSA-N,OCC1CC2CC1C1CCC(CO)C21,-1.251502835,1.0,solvent_844,solute_2247,"polar,small"
CDBAMNGURPMUTG-UHFFFAOYSA-N,CC(C)(C1CCC(O)CC1)C1CCC(O)CC1,-3.097606136,1.0,solvent_844,solute_2248,"polar,small"
LXOFYPKXCSULTL-UHFFFAOYSA-N,CC(C)CC(C)(O)C#CC(C)(O)CC(C)C,-2.124331577,1.0,solvent_844,solute_2249,"polar,small"
RAXXELZNTBOGNW-UHFFFAOYSA-N,c1c[nH]cn1,0.968396921,1.0,solvent_844,solute_2250,"polar,small"
HIDBROSJWZYGSZ-UHFFFAOYSA-N,O=C1C=CC(=O)N1c1ccccc1,-2.327317055,1.0,solvent_844,solute_2251,"polar,small"
BOPPSUHPZARXTH-UHFFFAOYSA-N,CC(C=O)Cc1ccc2c(c1)OCO2,-2.31343814,1.0,solvent_844,solute_2252,"polar,small"
UGMGEYBGNHXQQO-UHFFFAOYSA-N,CCCCCCCCCC(C)(C)SSc1nnc(S)s1,-3.988525266,1.0,solvent_844,solute_2253,"polar,large"
NBCMACYORPIYNY-NSCUHMNNSA-N,CC=CCCC1CCCC(=O)O1,-1.470804602,1.0,solvent_844,solute_2254,"polar,small"
MORNPDNVUROSRS-UHFFFAOYSA-N,CC(NCCCCCCNC(C)C(C)(C)C)C(C)(C)C,-3.517610353,1.0,solvent_844,solute_2255,"polar,small"
GVOYKJPMUUJXBS-UHFFFAOYSA-N,NCc1ccccc1N,-1.663716567,1.0,solvent_844,solute_2256,"polar,small"
ZBJCYZPANVLBRK-UHFFFAOYSA-N,CC1CCC(C(C)C)C2(C1)OCC(CO)O2,-2.279383252,1.0,solvent_844,solute_2257,"polar,small"
KGANAERDZBAECK-UHFFFAOYSA-N,OCc1cccc(Oc2ccccc2)c1,-2.742499103,1.0,solvent_844,solute_2258,"polar,small"
HXFNRRNDWNSKFM-UHFFFAOYSA-N,C=CN1CC(C)OC1=O,-0.145727205,1.0,solvent_844,solute_2259,"polar,small"
KFFQABQEJATQAT-UHFFFAOYSA-N,CCCCN=C(S)NCCCC,-2.948584568,1.0,solvent_844,solute_2260,"polar,small"
STVZJERGLQHEKB-UHFFFAOYSA-N,C=C(C)C(=O)OCCOC(=O)C(=C)C,-2.261313703,1.0,solvent_844,solute_2261,"polar,small"
XCSGHNKDXGYELG-UHFFFAOYSA-N,c1ccc(OCCOc2ccccc2)cc1,-3.988525311,1.0,solvent_844,solute_2262,"non-polar,small"
ALQSHHUCVQOPAS-UHFFFAOYSA-N,OCCCCCO,0.982346564,1.0,solvent_844,solute_2263,"polar,small"
GHBFNMLVSPCDGN-UHFFFAOYSA-N,CCCCCCCC(=O)OCC(O)CO,0.179475324,1.0,solvent_844,solute_2264,"polar,small"
QMCVOSQFZZCSLN-QXMHVHEDSA-N,CCCCCCOC(=O)C=CC(=O)OCCCCCC,-6.277830392,1.0,solvent_844,solute_2265,"polar,small"
CNPGMVAEOUQDBN-SLHNCBLASA-N,CCC12CCC3c4ccc(OC)cc4CCC3C1CCC2O,-4.875697762,1.0,solvent_844,solute_2266,"polar,large"
AMTCPYGXTNRQQZ-UHFFFAOYSA-N,CCOC(=O)c1ccnc2ccc(OC)cc12,-4.665112864,1.0,solvent_844,solute_2267,"polar,small"
MRCKRGSNLOHYRA-UHFFFAOYSA-N,CC(=O)Oc1ccccc1[N+](=O)[O-],-2.185525349,1.0,solvent_844,solute_2268,"polar,small"
JKUYRAMKJLMYLO-UHFFFAOYSA-N,CC(=O)CC(=O)OC(C)(C)C,-1.244955185,1.0,solvent_844,solute_2269,"polar,small"
YKSSSKBJDZDZTD-CLTKARDFSA-N,CC=Cc1ccc(OCc2ccccc2)c(OC)c1,-5.579319373,1.0,solvent_844,solute_2270,"non-polar,small"
RVWOWEQKPMPWMQ-UHFFFAOYSA-N,CCCCCCC(O)CCCCCCCCCCC(=O)OC,-4.014957335,1.0,solvent_844,solute_2271,"polar,large"
AUFZRCJENRSRLY-UHFFFAOYSA-N,Cc1cc(O)c(C)c(C)c1O,-1.638325492,1.0,solvent_844,solute_2272,"polar,small"
ARKIFHPFTHVKDT-UHFFFAOYSA-N,CC(=O)c1cccc([N+](=O)[O-])c1,-2.282024115,1.0,solvent_844,solute_2273,"polar,small"
FFVHHWOJYFCNJP-UHFFFAOYSA-N,CCOC(=O)C1CCC(C)CC1=O,-1.85713123,1.0,solvent_844,solute_2274,"polar,small"
LPDDKAJRWGPGSI-ZZXKWVIFSA-N,CC(=O)OCC=C(C)C=O,-0.460794593,1.0,solvent_844,solute_2275,"polar,small"
PFWYHTORQZAGCA-UHFFFAOYSA-N,CC(=O)OCc1ccc2c(c1)OCO2,-2.212672296,1.0,solvent_844,solute_2276,"polar,small"
JBTHDAVBDKKSRW-UHFFFAOYSA-N,Cc1ccc(N=Nc2c(O)ccc3ccccc23)c(C)c1,-6.705441469,1.0,solvent_844,solute_2277,"polar,small"
XDJULAUHYAJQBU-UHFFFAOYSA-N,CC(=O)COc1c(C)cccc1C,-1.918543322,1.0,solvent_844,solute_2278,"polar,small"
GGWCZBGAIGGTDA-UHFFFAOYSA-N,COc1ccc2cc(C(C)=O)ccc2c1,-2.42072987,1.0,solvent_844,solute_2279,"polar,small"
FOKZHJCFBNVOAV-LUAWRHEFSA-N,CCCOC(=O)C(O)=COc1ccccc1,-1.62254675,1.0,solvent_844,solute_2280,"polar,small"
ZKHZWXLOSIGIGZ-UHFFFAOYSA-N,COC1=Cc2ccccc2Nc2ccccc21,-4.51441706,1.0,solvent_844,solute_2281,"polar,small"
IVEVYZAZHQVESM-UHFFFAOYSA-N,CCCCCC1=C(OC(C)=O)CCC1CC(=O)OC,-3.721987378,1.0,solvent_844,solute_2282,"polar,small"
UICXTANXZJJIBC-UHFFFAOYSA-N,OOC1(OOC2(O)CCCCC2)CCCCC1,-1.4229864,1.0,solvent_844,solute_2283,"polar,small"
HKTSLDUAGCAISP-UHFFFAOYSA-N,CCOC(=O)N(c1ccccc1)c1ccccc1,-3.969237759,1.0,solvent_844,solute_2284,"polar,small"
PKUZBJXWIOTQFQ-UHFFFAOYSA-N,CCOC(=O)c1ccc2sc3ccccc3c(=O)c2c1,-6.756591815,1.0,solvent_844,solute_2285,"polar,small"
RHRRUYIZUBAQTQ-UHFFFAOYSA-N,CC(C)CCC(C)(O)C#CC(C)(O)CCC(C)C,-3.437518464,1.0,solvent_844,solute_2286,"polar,small"
TXDBDYPHJXUHEO-UHFFFAOYSA-N,CSc1cc(SC)c(N)c(C)c1N,-3.12159429,1.0,solvent_844,solute_2287,"polar,small"
JWUQFQYYMGMPKE-GQCTYLIASA-N,O=CC1=C(Cl)C(=CO)CCC1,-2.574310385,1.0,solvent_844,solute_2288,"polar,small"
XPEKVUUBSDFMDR-UHFFFAOYSA-N,CC1C=CCC2C(=O)OC(=O)C12,-0.736268984,1.0,solvent_844,solute_2289,"polar,small"
XRKJBJLXKLOLKS-UHFFFAOYSA-N,CCC(CC)CC1(C(=O)O)CCCCC1,-4.281691244,1.0,solvent_844,solute_2290,"polar,small"
CLDZVCMRASJQFO-UHFFFAOYSA-N,CC(C)(C)CC(C)(C)c1cc(O)c(C(C)(C)CC(C)(C)C)cc1O,-7.093085587,1.0,solvent_844,solute_2291,"polar,large"
VWWOJJANXYSACS-UHFFFAOYSA-N,CSCCC(O)C#N,-0.07654115,1.0,solvent_844,solute_2292,"polar,small"
ULCZGZGLABEWDG-UHFFFAOYSA-N,CCOc1cc(CO)ccc1O,-1.4404755,1.0,solvent_844,solute_2293,"polar,small"
JHWGFJBTMHEZME-UHFFFAOYSA-N,C=CC(=O)OCCCCOC(=O)C=C,-1.805781834,1.0,solvent_844,solute_2294,"polar,small"
ZWWQICJTBOCQLA-UHFFFAOYSA-N,CC(C)OC(=S)SSC(=S)OC(C)C,-7.605991949,1.0,solvent_844,solute_2295,"non-polar,small"
UKJARPDLRWBRAX-UHFFFAOYSA-N,CC1(C)CC(NCCCCCCNC2CC(C)(C)NC(C)(C)C2)CC(C)(C)N1,-2.350738834,1.0,solvent_844,solute_2296,"polar,large"
FMGBDYLOANULLW-UHFFFAOYSA-N,CO[Si](CCCN=C=O)(OC)OC,-3.256980578,1.0,solvent_844,solute_2297,"polar,small"
OZDDKSQRJSWQSV-UHFFFAOYSA-N,CCCCCCCCOC(=O)c1cc(Cl)cc(-c2ccccc2)c1O,-6.271805144,1.0,solvent_844,solute_2298,"polar,large"
ROORDVPLFPIABK-UHFFFAOYSA-N,O=C(Oc1ccccc1)Oc1ccccc1,-4.216917068,1.0,solvent_844,solute_2299,"polar,small"
MBUYSYKXSMTIPP-UHFFFAOYSA-N,C=CCOC(=O)COC1CCCCC1,-2.07844017,1.0,solvent_844,solute_2300,"polar,small"
ZUAURMBNZUCEAF-UHFFFAOYSA-N,OCCOCCOc1ccccc1,-0.716525138,1.0,solvent_844,solute_2301,"polar,small"
FJGPXUPMNZOTLX-UHFFFAOYSA-N,CN=C(c1ccccc1Cl)C1(O)CCCC1,-2.944717486,1.0,solvent_844,solute_2302,"polar,small"
