InChIKey,smiles_canon,LogS,occurence
SYARWWXCNNFEHU-UHFFFAOYSA-N,O=C1NC(=O)C2(O1)C1CCCCC1CCC1CCCCC12,-5.416679399,1.0
YEKMWXFHPZBZLR-UHFFFAOYSA-N,O=C1NC(CCCl)OC2CCCCC12,-3.387138325,1.0
XGLHJEZLNGXEAZ-UHFFFAOYSA-N,CN1C(=S)NNC1C1CCCCC1,-2.510753974,1.0
ONNOFKFOZAJDHT-UHFFFAOYSA-N,O=C(O)CCCCCCNC1C2CCCCC2CCC2CCCCC21,-7.113587035,1.0
HYPJZSYXUWYJDG-UHFFFAOYSA-N,O=C(O)CC1CCCCC1NC1C(Cl)CCC(O)C1Cl,-3.800630825,1.0
MLCPCDOOBNXTFB-UHFFFAOYSA-N,O=C(CC1CCCCC1C(=O)O)C1CCCCC1,-3.44719057,1.0
LDOCMFAHAVONEI-UHFFFAOYSA-N,O=S(=O)(NC1CCCCC1)C1CCC(F)CC1,-3.452225645,1.0
WTPDKEAYVAXNRO-UHFFFAOYSA-N,COC1CC(C(=O)O)CCC1OC(C)=O,-2.060150629,1.0
IRYFCWPNDIUQOW-UHFFFAOYSA-N,COC1CCCCC1N1CCN(CCCC(=O)C2CCC(F)CC2)CC1,-3.439717897,1.0
IVFHUYCFFOSCLM-UHFFFAOYSA-N,CCN(CC)CCCN1C2CCCCC2NC(=O)C2CCCCC21,-6.300278714,1.0
MFUHTALWGBAVOL-UHFFFAOYSA-N,CC(=O)OCC(COC1CCCCC1)OC(C)=O,-2.803068231,1.0
GOIQOQCNFWYSTQ-UHFFFAOYSA-N,CCC(CC1C(I)CC(I)C(O)C1I)C(=O)O,-6.549162007,1.0
NFHMMNLSDVYWAP-UHFFFAOYSA-N,O=C1CC2(CN1)C1CCCCC1CCC1CCCCC12,-5.179967583,1.0
NDSWVTKMCVPUFP-UHFFFAOYSA-N,CN1C2CCC1CN(CCOC(=O)C(C1CCCCC1)C1CCCCC1)C2,-4.026390318,1.0
QMRJLXOCWJOZLU-UHFFFAOYSA-N,CC(=O)NC1CCC2NC3CCCCC3CC2C1,-4.106244205,1.0
UICBCXONCUFSOI-UHFFFAOYSA-N,CC(=O)NNC1CCCCC1,-0.926194989,1.0
QNPHCSSJLHAKSA-UHFFFAOYSA-N,C#CCOC(C(=O)OCCN(C)C)(C1CCCCC1)C1CCCCC1,-3.059822216,1.0
KAERBVZTGPZZHW-UHFFFAOYSA-N,COC1CCC(NC2CC(Cl)CCC2C(=O)O)CC1,-5.418276286,1.0
QLQCGYKBQYMJFD-UHFFFAOYSA-N,OCCNC1NC(C2CCCCC2)C(C2CCCCC2)O1,-3.820299073,1.0
KAATUXNTWXVJKI-HBFSDRIKSA-N,CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)C1CCCC(OC2CCCCC2)C1,-8.02000049,1.0
IZMVXNJRIXIGGM-CUQLSPFUSA-N,O=C(NN=CC=CC1CCCCC1)C1CCNCC1,-3.04799096,1.0
WHCIYAMCNYHKDJ-UHFFFAOYSA-N,NC(=O)NCCC1C(Cl)CCCC1Cl,-2.949226077,1.0
WNHQFWFQAJPQMC-UHFFFAOYSA-N,O=C(OC1CCC(N(CCCl)CCCl)CC1)C1CCCC(F)C1,-5.993007278,1.0
NGJLFMBOFBKYHK-VQHVLOKHSA-N,CC(=CC1CCCCC1)CC(=O)O,-2.746355792,1.0
PDQZSLQGPNGYIF-UHFFFAOYSA-N,C=CCC1CCCC(C)C1OCC(O)CO,-3.213369295,1.0
JMEJOUCPQDFPFK-UHFFFAOYSA-N,N#CNC(N)=NC1CCC(Cl)CC1,-1.960812305,1.0
JLRNKCZRCMIVKA-UHFFFAOYSA-N,CC(C)(OC1CCC(Cl)CC1)C(=O)OCCCOC(=O)C(C)(C)OC1CCC(Cl)CC1,-7.182668828,1.0
NOEMEJJCNDUHJT-UHFFFAOYSA-N,CC(C)CC1NC2C(=O)N(C)C(=O)N(C)C2N1,-2.252843822,1.0
LHCPRYRLDOSKHK-UHFFFAOYSA-N,NC1NCNC2NNCC12,-0.877898746,1.0
WDRYRZXSPDWGEB-UHFFFAOYSA-N,O=C(O)C1NN(CC2CCC(Cl)CC2Cl)C2CCCCC12,-5.565553946,1.0
NJXDTGLUPRKMFN-UHFFFAOYSA-N,O=C(O)C1CCCCC1C(=O)CC1CCCCC1,-3.44719057,1.0
FAVIQMSTEFBUJX-UHFFFAOYSA-N,CCCOC1CCCCC1C(N)=O,-1.5896831,1.0
UMYZWICEDUEWIM-UHFFFAOYSA-N,COC1CCC(CC(C)=O)CC1OC,-1.572312967,1.0
LGGDXXJAGWBUSL-BKRJIHRRSA-N,COC1CCC2CC3C4CCC(OC(C)=O)C5OC1C2C45CCN3C,-2.828259202,1.0
IYMDCTFFGDILDM-UHFFFAOYSA-N,CCN(CCO)C1NC(C2CCCCC2)C(C2CCCCC2)O1,-4.911595827,1.0
QEPSIRAPSOKGGM-UHFFFAOYSA-N,CC1CCCCC1NC(=O)C1CCC([N+](=O)[O-])CC1,-3.595769143,1.0
UYNVMODNBIQBMV-UHFFFAOYSA-N,CC(C(O)C1CCC(O)CC1)N1CCC(CC2CCCCC2)CC1,-3.093026872,1.0
GYIBSRBIOHMGPQ-CGTJXYLNSA-N,CC(=O)N1CCC23CCCCC2C1CC1CCC(O)CC13,-3.355063626,1.0
JACRWUWPXAESPB-QMMMGPOBSA-N,O=C(O)C(CO)C1CCCCC1,-0.93000001,1.0
JBWSEIGJTHGZRV-UHFFFAOYSA-N,O=C1CC2CCCCC2S(=O)(=O)N1,-0.85876186,1.0
BAQKJENAVQLANS-UHFFFAOYSA-N,CCC(C(=O)OCCN1CCOC(C2CCCCC2)C1C)C1CCCCC1,-4.587840875,1.0
XDCFGLSPLPULQH-UHFFFAOYSA-N,O=C1COC2CCC(Cl)CC2N1CC(O)CO,-0.596816279,1.0
XFDJYSQDBULQSI-UHFFFAOYSA-N,CCN1CC(CCN2CCOCC2)C(C2CCCCC2)(C2CCCCC2)C1=O,-4.877986526,1.0
XWNZVGDZWLLXSJ-UHFFFAOYSA-N,CC(C)(CO)CC(C)(C)C1NC2SC(C(C)(C)CC(C)(C)CO)NC2S1,-7.375254143,1.0
OYMOPEYQIAFWSQ-UHFFFAOYSA-N,CCN(CC)CCN1C(=O)C2CCCCC2NC2CCCCC21,-5.162158939,1.0
GYQOYYFIHYKFEO-UHFFFAOYSA-N,O=C1CNC(C2CCCCC2)C2CC(Cl)CCC2N1,-3.509908507,1.0
UCTWMZQNUQWSLP-SECBINFHSA-N,CNCC(O)C1CCC(O)C(O)C1,0.737057937,1.0
ZDGVLDKCQRCCKI-ICDZXHCJSA-N,CSC1CCC(CCN2CCC34CCCCC3C2CC2CCC(O)CC24)CC1,-5.590721567,1.0
APBVLLORZMAWKI-UHFFFAOYSA-N,NC(=O)C1C2CCCCC2CCC2CCCCC21,-4.638029222,1.0
ZKNSZZXBPSICFK-UHFFFAOYSA-N,O=C(O)C(OC1CCC(Cl)CC1)OC1CCC(Cl)CC1,-4.751431695,1.0
MOTVHOCKVVIRIG-UHFFFAOYSA-N,CC(C)C1CCC(C)C(OCC(O)CO)C1,-3.282643412,1.0
LXHOGENDFZKPSF-UHFFFAOYSA-N,CN(C)C1CCC(C(O)(C2CCCCC2)C2CCC(N(C)C)CC2)CC1,-3.062549395,1.0
SHZWWHZISZGGHB-UHFFFAOYSA-N,CCCCCCC1NC2C(=O)N(C)C(=O)N(C)C2N1,-3.35768684,1.0
JNXAZWXNARKBOA-UHFFFAOYSA-N,CN1C2CCC1CN(C(=O)C1CCCCC1[N+](=O)[O-])C2,-2.325875495,1.0
WZKXTRAAYUOPSE-UHFFFAOYSA-N,COC1CCC(OCC(C)(O)CO)CC1,-1.597672678,1.0
ICKMASVVMCGZLR-UHFFFAOYSA-N,CC(=O)OC1C(I)CC(I)CC1C(=O)NC1CCC(Cl)CC1,-7.824530477,1.0
TXFLRWLXYPVPIQ-UHFFFAOYSA-N,CN(C)CCCN1C(=O)C2CCCCC2NC2CCCCC21,-4.641729997,1.0
JTNZXOJENVIQTO-UHFFFAOYSA-N,CC(C)OC(=O)C1C(C)CCC(C(C)C)C1OCC(=O)OCCCN(C)C,-4.844408529,1.0
SJCRQMUYEQHNTC-UHFFFAOYSA-N,CC1CC(CC(=O)O)C(C)N1C1CCC(Cl)CC1,-3.988816938,1.0
QFQQCSOIKYRSMA-UHFFFAOYSA-N,CC(COC1CCCCC1C)OC(N)=O,-2.594743457,1.0
MEVXADNQQUNQKB-UHFFFAOYSA-N,CC1CCCC(Cl)C1OCC(O)CO,-2.533007018,1.0
ZYMUNTZVOUBQAI-JSAVKQRWSA-N,COC1CCC(C=C2CCCC(=CC3CCC(OC)CC3)C2=O)CC1,-6.467380912,1.0
AQDHMDFRPGSAQA-UHFFFAOYSA-N,CCC(=O)N1C2CCC1CN(CC#CC1CCCCC1)C2,-3.212798581,1.0
KRQCFJVRGKISQO-UHFFFAOYSA-N,CCCCCC1NC2C(=O)N(C)C(=O)N(C)C2N1,-2.837362936,1.0
IUNJCFABHJZSKB-UHFFFAOYSA-N,O=CC1CCC(O)CC1O,-1.257453785,1.0
LMQXNURVVYWBSR-UHFFFAOYSA-N,CCCC1NC2C(=O)N(C)C(=O)N(C)C2N1,-1.794169645,1.0
YMVWGSQGCWCDGW-UHFFFAOYSA-N,CN(C)CCCNC1C2CCCCC2NC2CCCC([N+](=O)[O-])C21,-3.836657612,1.0
YJDHHWUZVJSQQZ-UHFFFAOYSA-N,COC1CCCC(OCC(C)(O)CO)C1,-1.597672678,1.0
KGVVXUNDDIZWEL-UHFFFAOYSA-N,NC1CCC2OC(N)NC2C1,-0.718787133,1.0
UIIMQLPOAXFKFW-UHFFFAOYSA-N,CC(CCC(=O)O)C1CCCCC1,-2.283248112,1.0
OKPXKOTXEVLWNV-UHFFFAOYSA-N,COC1CCC(N2C(=O)N(C)C(=O)C(N(C)C)C2C)CC1,-2.164735767,1.0
SQTKLANYSYZUQC-UHFFFAOYSA-N,CC1CCCCC1SCC(O)CO,-1.950925936,1.0
NKNVOKGUNUZJFC-UHFFFAOYSA-N,CC(C)C1NC2C(=O)N(C)C(=O)N(C)C2N1,-1.731940645,1.0
BKEWDCUQDVDPHC-HNNXBMFYSA-N,O=C(O)C1CCC2CC(C3CCCCC3)CCC21,-4.940825874,1.0
MBJYNNMHFMUBHI-UHFFFAOYSA-N,CC1CCC(OCC(C)(O)CO)CC1,-1.879501049,1.0
ZMTSMVZAFDWQRM-UHFFFAOYSA-N,NC(=O)NCCC1CCCCC1,-1.346749847,1.0
LXACVVADKCRIQI-UHFFFAOYSA-N,CCOC(=O)C1C(C)CCC(C(C)C)C1OCC(=O)OCCN(C)C,-3.863709809,1.0
QGHFKHLAYNXMED-UHFFFAOYSA-N,COC(=O)C1C(C)CCC(C(C)C)C1OCC(=O)OCCCN(C)C,-3.863709809,1.0
RMWVZGDJPAKBDE-UHFFFAOYSA-N,CC(=O)OC1CC(C(F)(F)F)CCC1C(=O)O,-2.079386054,1.0
ZGJOXLCSIYUFJN-UHFFFAOYSA-N,CCC(=O)N1C2CCC1CN(CCNC1CCCCC1)C2,-2.659156807,1.0
DILZDMWFWNCRNK-UHFFFAOYSA-N,CCC1CCC(COCC(O)CO)CC1,-2.100067019,1.0
GUYKUDVQANANFT-UHFFFAOYSA-N,COC(=O)C1C(C)CCC(C(C)C)C1OCC(=O)OC(C)CN(C)C,-3.801561902,1.0
PEGCITODQASXKH-UHFFFAOYSA-N,CP(=O)(C1CCCCC1)C1CCCCC1,-2.384044404,1.0
QFDVMOCQOGCDKA-UHFFFAOYSA-N,CCOC(=O)C1CC(OC)CCC1O,-2.76378673,1.0
IQZBVVPYTDHTIP-UHFFFAOYSA-N,NC(=O)NC1CCC(F)CC1,-1.214337001,1.0
JCDADBBKUHSPFI-UHFFFAOYSA-N,COC1CCN(CCCN2C3CCCCC3SC3CCC(C(C)=O)CC32)CC1,-6.259840377,1.0
KSMAGQUYOIHWFS-UHFFFAOYSA-N,CC(OC1C(Cl)CCCC1Cl)C1=NCCN1,-4.497432395,1.0
SCYNDZYCBJLQDA-UHFFFAOYSA-N,COC(=O)C1C(C)CCC(C(C)C)C1OCC(O)CN(C)C,-2.636830534,1.0
UVRZZNNYGUAYNU-UHFFFAOYSA-N,C=CCN1C(=O)C2CCCCC2CS1(=O)=O,-2.442774538,1.0
GESBKELMKMNZLZ-UHFFFAOYSA-N,CCOP(=O)(NC1CCCCC1)OCC,-1.877371346,1.0
HPYYCONYZSKTMH-UHFFFAOYSA-N,NC1CCCCC1OCC(O)CO,-0.488425098,1.0
HZTUFMXXIKGMQU-UHFFFAOYSA-N,COC1CCC(SCC2CN=C(N)O2)CC1,-2.451305562,1.0
DTRYRQSAXWHXNC-UHFFFAOYSA-N,CCN(CC)CCNC(=O)COC1C(C(C)C)CCC(C)C1C(=O)OC,-4.889582982,1.0
SAZOOWOGQNYJLS-UHFFFAOYSA-N,O=C(O)C1CC(Cl)C(O)CC1O,-2.052740008,1.0
FPWIQSIIEYYWPP-UHFFFAOYSA-N,CC(=O)C1CCCC(OCC(O)CN2CCCCC2)C1,-1.722890804,1.0
AVSPYQKJZIZMFT-UHFFFAOYSA-N,CCC(CCN(C)C)(C(N)=O)C1CCCC2CCCCC21,-3.649794771,1.0
VPISOLDSBFMXDM-UHFFFAOYSA-N,CCCCC1NC2C(=O)N(C)C(=O)N(C)C2N1,-2.316512902,1.0
YYLJRENQBJIZGV-UHFFFAOYSA-N,CC1CCCCC1C(=O)OC1CCC(N(CCBr)CCBr)CC1,-7.060267843,1.0
UAYKDHALAVBVGN-UHFFFAOYSA-N,CCCN(CCC)CCOCCCOC(=O)C1CCC(N)CC1,-3.26294838,1.0
YCYHVZWPNDQZAM-UHFFFAOYSA-N,O=C(CC1CCCCC1C(=O)O)C1CCC(Cl)C(Cl)C1,-5.04924893,1.0
SWPGGPQCAMUQDY-UHFFFAOYSA-N,O=C(OC1CCC(N(CCBr)CCBr)CC1)C1CCCCC1,-6.490687079,1.0
QYSPLQLAKJAUJT-UHFFFAOYSA-N,CN1C(C(=O)NC2CCCCN2)=C(O)C2CCCCC2S1(=O)=O,-4.499990825,1.0
DFINKRRPZPLYKC-UHFFFAOYSA-N,O=C(OC1CCC(N(CCCl)CCCl)CC1)C1CCC(F)CC1,-5.993007278,1.0
GJTMNUHTYIJXTJ-UHFFFAOYSA-N,COC1CCC2C(=O)C(C)C(C)OC2C1CN1CCOCC1,-2.358103811,1.0
CZGIRAWWWHPJHM-UHFFFAOYSA-N,C#CC(C)(CC)OC(=O)C1CCCCC1C(=O)O,-2.666957661,1.0
FUQOTYRCMBZFOL-UHFFFAOYSA-N,O=C(O)C1CC2CC(Cl)CCC2N1,-2.831980826,1.0
KGPAYJZAMGEDIQ-UHFFFAOYSA-N,COC1CCC(CC2C3CC(OC)C(OC)CC3CCN2C)CC1OC,-3.679894712,1.0
CCGBNUKHCLUUFX-UHFFFAOYSA-N,O=C1NC(C2CCC3CCCCC3C2)CO1,-2.935568954,1.0
RRKMWVISRMWBAL-UHFFFAOYSA-N,COC1CC(C=O)CC(O)C1O,-0.918195642,1.0
SXYLQUYLIISZOT-UHFFFAOYSA-N,O=C(OC1CCC(N(CCCl)CCCl)CC1)C1CCCC(Cl)C1,-6.492143198,1.0
CHXQMYIAXRURDN-UHFFFAOYSA-N,COC1CC(CC(C)NN)CC(OC)C1OC,-1.724660973,1.0
OLGRRKKKZVVCNR-UHFFFAOYSA-N,CCC(=O)C1CCC(OCC(O)CN2CCOCC2)CC1,-0.765837368,1.0
WYZIGOITRAONMZ-UHFFFAOYSA-N,CN1C(CCCl)CNC1[N+](=O)[O-],-2.439616821,1.0
GCZZOZBWAZHCAN-UHFFFAOYSA-N,S=C(NC1CCCCC1)NC1NCCS1,-2.806998312,1.0
PJDRMPCBIWKBJA-UHFFFAOYSA-N,COC1CCC(CCN2CCN(C3CCCCC3Cl)CC2)CC1OC,-4.256335213,1.0
PZHBZYPUUCYOIA-UHFFFAOYSA-N,CN(C(=S)OC1CCC2CCCCC2C1)C1CCC2CCCCC2C1,-8.31313957,1.0
FQNXWYNWKZQFCN-UHFFFAOYSA-N,CC1CC(C)CC(OCC(C)(O)CO)C1,-2.449462888,1.0
XOZLRRYPUKAKMU-UHFFFAOYSA-N,CC(C)NC1C(=O)N(C2CCCCC2)N(C)C1C,-1.833199869,1.0
CSUWOZHJCIQEMQ-UHFFFAOYSA-N,CC1C(N)CCC2CC3CCC(N)C(C)C3NC21,-4.24497495,1.0
VKRAXSZEDRWLAG-SJKOYZFVSA-N,CCN(CC)C(=O)C1C=C2C3CCCC4NC(Br)C(CC2N(C)C1)C43,-4.504908253,1.0
CPDDDTNAMBSPRN-ZZXKWVIFSA-N,O=C(O)C=CC1CCC(Br)CC1,-2.99064693,1.0
XGYICSXQOIEICF-UHFFFAOYSA-N,NC1CC2OC(=O)NC2CC1Cl,-1.123167465,1.0
CZWHCHAGVJACTE-UHFFFAOYSA-N,CCCCC1CCCC(OCC(O)CO)C1,-3.29775083,1.0
HBUNPJGMNVQSBX-UHFFFAOYSA-N,CC(=O)NC1C(=O)NC2CSSC21,-1.474931566,1.0
TXSYVXMEIWQHCF-UHFFFAOYSA-N,NC(=O)C(CCN1CCCCC1)(CCN1CCCCC1)C1CCCCC1,-5.000658837,1.0
OEPKDBQOTLDTNC-UHFFFAOYSA-N,COCP(=O)(C1CCCCC1)C1CCCCC1,-1.948889416,1.0
WZRLTEAJABPZBF-UHFFFAOYSA-N,CCC(C)C(CCN1CCOCC1)(C(N)=O)C1CCCCC1,-3.235519873,1.0
GNDPAVKYAUIVEB-NTEUORMPSA-N,CC(=NNC(=O)C1CCNCC1)C1CCCO1,-3.693770525,1.0
KEUDYNSIGHFSQH-UHFFFAOYSA-N,O=C(OC1CCC(N(CCBr)CCBr)CC1)C1CCCC(C(F)(F)F)C1,-7.808232007,1.0
KOLACBWIZQJURK-DUXPYHPUSA-N,CN1CCC2CC1N(C(=O)C=CC1CCC([N+](=O)[O-])S1)C2,-3.064412791,1.0
WUQMRWPLIMXBDX-UHFFFAOYSA-N,CN(C)CCC1CNC2CC(O)CCC12,-0.352603659,1.0
BRHCJSYLVUWFLP-UHFFFAOYSA-N,CCOC(=O)CC1CCC(C(=O)N2CCC3CC2N(C)C3)CC1,-2.054633644,1.0
WTGJGWJJJOCUQE-UHFFFAOYSA-N,C=CCOC1CCCCC1OCC(O)CO,-1.920991791,1.0
LDHFPUHSSYUQAA-MDZDMXLPSA-N,OC(C=CC1CCCCC1)CCN1CCN(C2CCCCN2)CC1,-3.221991998,1.0
UYXHCVFXDBNRQW-UHFFFAOYSA-N,CCCCCNCCOC(=O)C1CCC(N)CC1,-3.27,1.0
FWWDFDMCZLOXQI-UHFFFAOYSA-N,CC(C)(C)C(=O)NNCC1CCCCC1,-2.285092293,1.0
AOFMKIDPLZIMSQ-UHFFFAOYSA-N,CC(=O)NC1CCC2CC3CCCCC3NC2C1,-4.106244205,1.0
BMLKPGJBYUTIHT-UHFFFAOYSA-N,CCOC1NCNC2NCNC21,-1.886908904,1.0
KUMMBDBTERQYCG-UHFFFAOYSA-N,CC1CC(CO)C(O)C(CO)C1,-0.387586113,1.0
OBURDMXZDVFAKK-UHFFFAOYSA-N,CN1C(=O)C2NC(C3CCC3)NC2N(C)C1=O,-2.14180958,1.0
SNNIGNLXYVEYOC-UHFFFAOYSA-N,O=C(O)C1CSC(C2CCC([N+](=O)[O-])S2)N1,-3.4043425,1.0
CRYDBSUOPZRYDG-UHFFFAOYSA-N,COC1CC2CCCC(N)CC2C(O)C1OC,-1.926589588,1.0
MHPYROYXMZWPNN-UHFFFAOYSA-N,CCC(C)(C)C1CCC(CC(=O)NO)CC1,-3.258621583,1.0
BWRPEDIXOHZKFD-UHFFFAOYSA-N,O=C(O)C(OC1CCCCC1)OC1CCCCC1,-3.149781357,1.0
ZJYIVGNBYBGBFS-UHFFFAOYSA-N,CCOC(=O)N1CCN(C2NC(C3CCCCC3)C(C3CCCCC3)O2)CC1,-6.170312346,1.0
GQVUYVZMHLQIRT-UHFFFAOYSA-N,O=C1CCC2(C(=S)N1)C1CCCCC1CCC1CCCCC12,-5.338500305,1.0
FUKGUAVFRQEKLQ-UHFFFAOYSA-N,CCCOC1C(C(C)C)CCC(C)C1C(=O)O,-4.203222223,1.0
SVMALHWUCBPBFC-UHFFFAOYSA-N,OC1CCC(N(CCBr)CCBr)CC1,-4.125424829,1.0
UHYJMNVCANOFPF-UHFFFAOYSA-N,CCCCCOC1CCCCC1C(N)=O,-2.632595582,1.0
YKYVPFIBWVQZCE-UHFFFAOYSA-N,O=C(O)CCCOC1CCCCC1,-2.094394015,1.0
QPBWWFZYFRFGSD-VXQMPNGUSA-N,O=C(CCCCN1CCC23CCCCC2C1CC1CCC(O)CC13)C1CCCCC1,-4.849278473,1.0
UWZDUHTYIUMENV-UHFFFAOYSA-N,COC1CCC(OCC(O)CO)CC1,-1.450187765,1.0
DJIIKEYPSTUVKV-UHFFFAOYSA-N,NC(=O)C(CC1CCCO1)C1CCCC2CCCCC21,-2.855555186,1.0
BYTVUZSLDOOEOJ-UHFFFAOYSA-N,C1CCC(C(CCN2CCN(C3CNCCN3)CC2)(C2CCCCC2)C2CCCCC2)CC1,-6.51750281,1.0
SCVHFRLUNIOSGI-UHFFFAOYSA-N,CN1C(=O)C2NC(C3CCCC3)NC2N(C)C1=O,-2.664169956,1.0
MORVOYPJRATMRS-UHFFFAOYSA-N,CN1C(=O)C2C(NCN2CCCCl)N(C)C1=O,-2.263280914,1.0
JRWUFQJVJGKCCT-UHFFFAOYSA-N,N#CC(CC(=O)C1CCCCC1)C1CCCCC1,-3.591278774,1.0
PJWPNDMDCLXCOM-UHFFFAOYSA-N,COC1CCC(C(=O)NC2CCCCC2CCC2CCCCN2C)CC1,-5.391492382,1.0
YWPDGABYTMCJDP-UHFFFAOYSA-N,CC1(C)OC2CC(O)CC(O)C2C2CCCCC21,-4.651109545,1.0
BAFGPPSWVHCIPE-UHFFFAOYSA-N,CN(C)C(=O)C1CCCCC1OCCO,-0.586655803,1.0
RNKBIXXGAAQHCZ-UHFFFAOYSA-N,CCCC1CCCC(Br)C1OCC(O)CO,-4.10896923,1.0
GNUXVOXXWGNPIV-UHFFFAOYSA-N,CC(C)C1C(=O)N(C2CCCCC2)N(C)C1CN(C)C(C)CC1CCCCC1,-5.067751258,1.0
OPXLJUFZIAHIOA-UHFFFAOYSA-N,O=S(=O)(O)SCCNCCC1CCCCC1,-0.50928063,1.0
PFYTUXBMXIBUQI-UHFFFAOYSA-N,CN1CCN(CCCOC(=O)N2C3CCCCC3SC3CCCNC32)CC1,-5.457789275,1.0
CTZKUHWIUDBFRC-UHFFFAOYSA-N,C#CCN1C(=O)CC2CCCCC2S1(=O)=O,-1.495902618,1.0
HZKFHDXTSAYOSN-UHFFFAOYSA-N,O=C1C(O)=C(C2CCCCC2)C(=O)C(O)=C1C1CCCCC1,-3.390267011,1.0
DUTKSCXDHLBQRC-UHFFFAOYSA-N,CCOC(=O)C1C(C)CCC(C(C)C)C1OCCN1CCOCC1,-3.809616685,1.0
RCAKSFBHTACZEL-GDNBJRDFSA-N,COC1CC2CCCC(=NO)CC2C(OC)C1OC,-2.093338193,1.0
BNPWEZZZLIFSAA-UHFFFAOYSA-N,COC(=O)NC1CCCC2CC(OC)C(OC)C(OC)C2C1,-3.326114111,1.0
OWZREIFADZCYQD-HBFSDRIKSA-N,CC1(C)C(C=C(Br)Br)C1C(=O)OC(C#N)C1CCCC(OC2CCCCC2)C1,-8.399999664,1.0
BFMBKRQFMIILCH-UHFFFAOYSA-N,CCN(CC)CCC1(C2CCCCC2)CCC(=O)NC1=O,-2.956327169,1.0
LKYQLAWMNBFNJT-UHFFFAOYSA-N,CCOC(=O)C1(C2CCCCC2)CCN(CCC2CCC(N)CC2)CC1,-4.033115835,1.0
WYWIFABBXFUGLM-UHFFFAOYSA-N,CC1CC(C(C)(C)C)C(O)C(C)C1CC1=NCCN1,-5.278571852,1.0
HOGNMZSUBOLTHT-UHFFFAOYSA-N,CCCN1CCC2C(CCCC2NC(=O)C2CCC(OC)CC2)C1,-4.268074939,1.0
PIMJYOORDYDRBD-UHFFFAOYSA-N,CC1CCCC(C)C1CCNC(N)=O,-2.485933789,1.0
RRLUFPHCTSFKNR-DUXPYHPUSA-N,O=C(O)C=CC1CCC(Cl)C(Cl)C1,-3.25736854,1.0
MQOBSOSZFYZQOK-UHFFFAOYSA-N,CC(C)(OC1CCC(C(=O)C2CCC(Cl)CC2)CC1)C(=O)O,-4.54393589,1.0
URJQOOISAKEBKW-UHFFFAOYSA-N,CCOC1C(=O)N(C)NCC1N1CCOCC1,0.621102693,1.0
XREKTVACBXQCSB-UHFFFAOYSA-N,O=C(O)C1CC(I)C(O)C(I)C1,-4.20215854,1.0
JTEJPPKMYBDEMY-UHFFFAOYSA-N,COC1CCC2NCC(CCN)C2C1,-1.247099831,1.0
XMRKEVYDRNKBOR-CAKYRVLISA-N,COC1CCC2CC3C4CCCCC4(CCN3CCC3CCC(OC)C(OC)C3)C2C1,-6.038293716,1.0
XIUVZQCJSZGEJF-UHFFFAOYSA-N,N#CC1(O)CCN(CCC2CCCCC2)CC1,-1.44114863,1.0
FPHLBGOJWPEVME-UHFFFAOYSA-N,C=C(C)CNC1CCC(C(C)C(=O)O)CC1,-2.854576466,1.0
WRQDGPXEQMJEKS-UHFFFAOYSA-N,O=C(NC(O)C(Cl)Cl)C1CCC(F)CC1,-1.714877983,1.0
YMTINGFKWWXKFG-UHFFFAOYSA-N,CC(C)OC(=O)C(C)(C)OC1CCC(C(=O)C2CCC(Cl)CC2)CC1,-5.9358196,1.0
ZLOXYEZYWCTXHU-UHFFFAOYSA-N,O=C(NC1NCC([N+](=O)[O-])S1)C1CCCS1,-4.738420721,1.0
LRCXRAABFLIVAI-UHFFFAOYSA-N,NCC(O)C1CCCC(O)C1,0.8147951,1.0
SYHDSBBKRLVLFF-UHFFFAOYSA-N,CCN(CC)CCOC1CCC(C(O)(CC2CCC(Cl)CC2)C2CCC(C)CC2)CC1,-7.112180049,1.0
GXLIFJYFGMHYDY-ZZXKWVIFSA-N,O=C(O)C=CC1CCC(Cl)CC1,-2.457368476,1.0
GAMSVHKCGRVPPR-UHFFFAOYSA-N,CN(C)CCC(CCN(C)C)(C(N)=O)C1CCCCC1,-1.91678595,1.0
PYTCKRXHAISOQN-UHFFFAOYSA-N,CCCCOC1CC(C(=O)N(C)N)CC(OCCCC)N1,-3.92756007,1.0
RFCPBHVDIXXSGT-UHFFFAOYSA-N,OCCN1CC2CCC(C1)N2CCCN1C2CCCCC2SC2CCCCC21,-5.510858027,1.0
PNJUPRNTSWJWAX-ZDUSSCGKSA-N,COC1CC2CCN(C)C3CC4(C=CC(=O)C=C4)C(C1O)C23,-2.976344137,1.0
SJNWVWZUCJZLGK-UHFFFAOYSA-N,OCC(O)COC1CCCCC1F,-1.123809679,1.0
UWYLQWLJGMLJQF-UHFFFAOYSA-N,CCC(C)NCC(O)C1CCC(N)CC1,-0.35161994,1.0
ZBJBRUSGEJORQL-UHFFFAOYSA-N,NC(=O)OC1CCC(CC2CCCCC2)CC1,-3.776630866,1.0
NNWSPTNNCFFSLD-UHFFFAOYSA-N,CC1CCCC(OCC(CO)(CO)CO)C1,-2.121634705,1.0
SYVNKOFCGRDUIF-UHFFFAOYSA-N,CN1CC2CCC(C1)N2CCOC(=O)C1CCC(N)CC1,-1.424040514,1.0
MPCPSVWSWKWJLO-UHFFFAOYSA-N,CC(C)NCC(O)C1CCC(O)CC1,-0.31152481,1.0
