,InChIKey,SMILES,LogS
7636,XDWATWCCUTYUDE-UHFFFAOYSA-N,COC1=CC(=C(C=C1NC(=O)C2=CC3=CC=CC=C3C=C2O)Cl)OC,-5.377540216
7637,SRPWOOOHEPICQU-UHFFFAOYSA-N,C1=CC2=C(C=C1C(=O)O)C(=O)OC2=O,-0.896199931
7638,VOQHNQVAJZWHBJ-FBSFBOIFSA-N,C[C@]12CC[C@@H](C[C@@]13[C@H](O3)[C@@H]([C@@H]4[C@@H]2CC[C@]5([C@H]4CC(=C)C5=O)C)O)OC(=O)C(C)(C)C,-3.655885984
7639,JDAIJCNBFIWLJJ-UHFFFAOYSA-N,CCO[Si](=O)O,-3.80420499
7640,WHZPMLXZOSFAKY-UHFFFAOYSA-N,C1=CC=C(C=C1)S(=O)(=O)NC2=CC=C(C=C2)O,-2.493604069
7641,SUMDYPCJJOFFON-UHFFFAOYSA-N,C(CS(=O)(=O)O)O,0.899191934
7642,LEOCKULGXOQRTQ-UHFFFAOYSA-N,C1C(CC(CC(CC(CC(CC1Br)Br)Br)Br)Br)Br,-6.990426982
7643,IVIVGYTUQVJVPF-UHFFFAOYSA-N,CCC(C)N1C(=O)N(C=N1)C2=CC=C(C=C2)N3CCN(CC3)C4=CC=C(C=C4)OC,-5.860406644
7644,GBFFSHZRGVVSDW-ASWBSXDLSA-N,C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2CC[C@]4([C@H]3CCC4(C#CCO)O)C,-3.526060404
7645,QWBQTFQCJMOSPK-VOTSOKGWSA-N,CCCCC/C=C/CC(CC(=O)O)C(=O)O,-2.404239813
7646,YBADLXQNJCMBKR-UHFFFAOYSA-N,C1=CC(=CC=C1CC(=O)O)[N+](=O)[O-],-1.937055907
7647,RCPIAFQOZMYPGI-UHFFFAOYSA-N,C1=CC(=CC=C1SP(=O)(CCl)N(CCCl)CCCl)Cl,-0.291627428
7648,BTDGLZSKNFJBER-UHFFFAOYSA-N,C1=CC(=CC=C1C#N)N=C(N)N,-1.85049985
7649,KSLPLDLDQANKOD-UHFFFAOYSA-N,CC1=CC(=C(C=C1)OC)C(CC(=O)O)C2=CC=CC=C2,-4.279601723
7650,HTQNYBBTZSBWKL-UHFFFAOYSA-N,C1=CC=C(C=C1)C(=O)C2=C(C(=C(C=C2)O)O)O,-3.345108956
7651,ZAGRKAFMISFKIO-LNUXAPHWSA-N,CN1CC(C=C2[C@H]1CC3=CNC4=CC=CC2=C34)C(=O)O,-3.002133044
7652,BACYUWVYYTXETD-UHFFFAOYSA-N,CCCCCCCCCCCC(=O)N(C)CC(=O)O,-2.734638239
7653,LNEDNZUQKOGNLJ-UHFFFAOYSA-N,C=CC(=O)OCCCCCCOC1=CC=C(C=C1)C(=O)OC2=CC=C(C=C2)C#N,-7.951381679
7654,DLFOKZQWYFNKCL-UHFFFAOYSA-N,C1=CC=C(C(=C1)C(=O)O)NC(=O)CCC2=CC=C(C=C2)O,-3.383417938
7655,ZTILAOCGFRDHBH-UHFFFAOYSA-N,CC(C)OC1=CC=C(C=C1)S(=O)(=O)C2=CC=C(C=C2)O,-4.171435386
7656,BRPSWMCDEYMRPE-UHFFFAOYSA-N,CC(C1=CC=C(C=C1)O)(C2=CC=C(C=C2)O)C3=CC=C(C=C3)O,-4.086558906
7657,XFMNPFYVWKUVOJ-BMBAEVINSA-N,C[C@]12CC[C@@H](CC1=C[C@@H]([C@@H]3[C@@H]2CC[C@]4([C@H]3[C@H](CC4=O)OC(=O)C(C)(C)C)C)O)OC(=O)C(C)(C)C,-5.211888202
7658,NPARLLRHBQQQDY-UHFFFAOYSA-N,C1=CC(=CC=C1C2(C3=C(C(=C(C(=C3Cl)Cl)Cl)Cl)C(=O)O2)C4=CC=C(C=C4)O)O,-0.1078257
7659,XZSZWIVHLAUZLZ-UHFFFAOYSA-N,C1=CC=C(C(=C1)OCC(CO)(CO)CO)Cl,-1.758683265
7660,KJOLVZJFMDVPGB-UHFFFAOYSA-N,C1=CC2=C3C(=CC=C4C3=C1C5=C6C4=CC=C7C6=C(C=C5)C(=O)NC7=O)C(=O)NC2=O,-7.591458634
7661,XAAILNNJDMIMON-UHFFFAOYSA-N,CCCCN(CCCC)C1=CC2=C(C=C1)C3(C4=CC=CC=C4C(=O)O3)C5=C(O2)C=C(C(=C5)NC6=CC=CC=C6)C,-7.404247912
7662,RWHNPJRLKOXYHE-SZIXCRECSA-N,C[C@]12CC[C@H](C[C@@H]1CC[C@@H]3[C@@H]2CC[C@]4([C@H]3CC[C@@H]4OC(=O)N(CCCl)CCCl)C)OC(=O)N(CCCl)CCCl,-8.08230567
7663,BXIGAWRFDMDLTL-UHFFFAOYSA-N,CC1=CC=C(C=C1)S(=O)(=O)NC2=CC(=C(C3=C2C(=O)C4=CC=CC=C4C3=O)N)OC,-5.112562443
7664,DCHLMGJQDKHZLO-UHFFFAOYSA-N,C1=CC2=C(C=CC(=C2)CC3=CN=C4N3N=C(C=N4)C5=CC(=C(C=C5)C#N)F)N=C1,-3.1823005
7665,NVIAYEIXYQCDAN-UHFFFAOYSA-N,CC1=C(N2C(C(C2=O)N)SC1)C(=O)O,-3.045340413
7666,HPTJCEPNQHYWIH-PDGQHHTCSA-N,CC(C)C/C(=N\NC(=O)C1=CC2=CC=CC=C2C=C1O)/C,-4.813382792
7667,GJDRKHHGPHLVNI-UHFFFAOYSA-N,CCOP(=O)(CC1=CC(=C(C(=C1)C(C)(C)C)O)C(C)(C)C)OCC,-4.40585974
7668,XZOACPDZZYNJER-UHFFFAOYSA-N,CC1=C(C=C(C=C1)Cl)NC(=O)C2=CC3=CC=CC=C3C=C2O,-5.238557778
7669,ZTISORAUJJGACZ-UHFFFAOYSA-N,CC(=O)C(C(=O)NC1=CC=CC=C1OC)N=NC2=C(C=C(C=C2)[N+](=O)[O-])OC,-7.706182387
7670,OGIVREKRNQXGTA-UHFFFAOYSA-N,CC1=CC=C(C=C1)S(=O)(=O)C2=CC(=C(C=C2)O)O,-3.503011512
7671,OXTNCQMOKLOUAM-UHFFFAOYSA-N,C(C(=O)CC(=O)O)C(=O)O,0.542921744
7672,NQAJBKZEQYYFGK-UHFFFAOYSA-N,CCN(CCOC1=CC=C(C=C1)C2CCCCC2)C3=CC(=C(C=C3)C=C(C#N)C#N)C,-8.386131609
7673,OZSKVMIBRHDIET-UHFFFAOYSA-N,CCCCCCC(CCCCCCCCCCC(=O)NCCO)O,-4.621481325
7674,ANXBDAFDZSXOPQ-UHFFFAOYSA-N,COC1=C(C=C(C=C1)C(=O)O)[N+](=O)[O-],-2.661321717
7675,HBHZKFOUIUMKHV-UHFFFAOYSA-N,C1=CC=C2C(=C1)C=CC(=C2N=NC3=C(C=C(C=C3)[N+](=O)[O-])[N+](=O)[O-])O,-7.729934232
7676,WXHYPQWKGYEJKW-UHFFFAOYSA-N,CC1=CC=CC=C1NC(=O)C2=CC3=CC=CC=C3C(=C2O)N=NC4=C(C=C(C=C4)Cl)[N+](=O)[O-],-7.563213265
7677,KEZPMZSDLBJCHH-UHFFFAOYSA-N,CC1=CC=C(C=C1)S(=O)(=O)NC2=CC=C(C=C2)NC3=CC=CC=C3,-6.450279138
7678,GLKZGJGPYOFPKV-UHFFFAOYSA-N,CC1=CC=C(C=C1)S(=O)(=O)NCCCCCC(=O)O,-2.954329877
7679,DRQWQDPSMJHCCM-UHFFFAOYSA-N,CC1=NC=CN1CCC2=NC(=NC(=N2)N)N,-1.727095007
7680,GYHPTPQZVBYHLC-UHFFFAOYSA-N,CCCCC(CC)C(=O)OCCOCCOCCOCCOC(=O)C(CC)CCCC,-5.608548594
7681,MIIBUHIQXLFJFP-UHFFFAOYSA-N,CC1=CC(=O)N(C1=O)CC2=CC(=CC=C2)CN3C(=O)C=C(C3=O)C,-3.901399944
7682,XQUPVDVFXZDTLT-UHFFFAOYSA-N,C1=CC(=CC=C1CC2=CC=C(C=C2)N3C(=O)C=CC3=O)N4C(=O)C=CC4=O,-5.998008059
7683,SCABKEBYDRTODC-UHFFFAOYSA-N,CCCCOCCOCCOC(=O)CCCCC(=O)OCCOCCOCCCC,-2.882183887
7684,HXJSTOXKASOAQW-UHFFFAOYSA-N,C1=CC=C(C=C1)NC(=O)C2=CC3=CC=CC=C3C(=C2O)N=NC4=C(C=CC(=C4)Cl)Cl,-7.90738787
7685,KPGXRSRHYNQIFN-UHFFFAOYSA-N,C(CC(=O)O)C(=O)C(=O)O,0.614875911
7686,XWUNIDGEMNBBAQ-UHFFFAOYSA-N,CC(C)(C1=CC=C(C=C1)OCCOC(=O)C=C)C2=CC=C(C=C2)OCCOC(=O)C=C,-5.999481194
7687,ICCLGNPZARKJKF-UHFFFAOYSA-N,C(CSC(=N)N)C(=O)O,-1.091244825
7688,UMTNMIARZPDSDI-UHFFFAOYSA-N,C1=CC(=CC=C1C2C(=O)NC(=O)N2)O,-2.173104468
7689,XPZQBGDNVOHQIS-UHFFFAOYSA-N,C1=CC2=C(C=C1Cl)C(=O)C3=CC4=C(C=C3N2)C(=O)C5=C(N4)C=CC(=C5)Cl,-7.419804485
7690,AYRRNFHDJUXLEQ-UHFFFAOYSA-N,C1=CC=C(C=C1)OP(=O)(N)N,-1.487651132
7691,UKCKDSNFBFHSHC-ZEJPWUNMSA-N,CC(C)(C)OC(=O)N[C@H](C(=O)O)C12CC3CC(C1)CC(C3)(C2)O,-1.945161195
7692,RLOHOBNEYHBZID-UHFFFAOYSA-N,CN1C=C(C(=N1)C(F)F)C(=O)O,-0.643754604
7693,HYZDYRHKPFPODK-CYGHRXIMSA-N,CCCCCCCCCCCC(=O)OC[C@@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O,-4.224212296
7694,CFDIRYSIEKJPRZ-UHFFFAOYSA-N,C1CCC(=O)N(CC1)C(=O)NC2=CC=C(C=C2)CC3=CC=C(C=C3)NC(=O)N4CCCCCC4=O,-7.76325871
7695,YTFVRYKNXDADBI-SNAWJCMRSA-N,COC1=CC(=CC(=C1OC)OC)/C=C/C(=O)O,-2.830471288
7696,CWJQQASJVVAXKL-UHFFFAOYSA-N,CC1=NN(C(=O)C1)C2=CC=C(C=C2)S(=O)(=O)O,-1.692628341
7697,CNXZLZNEIYFZGU-UHFFFAOYSA-N,CCOC1=CC(=C(C=C1N)OCC)NC(=O)C2=CC=CC=C2,-2.405755172
7698,AYOFXUHULUCJBF-UHFFFAOYSA-N,CC(=O)C(C(=O)NC1=C(C=CC(=C1)Cl)OC)N=NC2=C(C=C(C=C2)[N+](=O)[O-])OC,-7.465722012
7699,KHPCPRHQVVSZAH-GUNCLKARSA-N,C1=CC=C(C=C1)/C=C/CO[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O,-5.517517576
7700,ODWZNBOTFNAHQY-CXUHLZMHSA-N,CC(C)C1=CC=C(C=C1)/C(=C\CC(C(=O)O)N)/C2=C(C=C(C=C2)F)F,-4.307858575
7701,OIWCPLBCWJUCMR-UHFFFAOYSA-N,C1=CC(=C(C=C1S(=O)(=O)N)N)Cl,-6.036474453
7702,XEVRDFDBXJMZFG-UHFFFAOYSA-N,C(=O)(NN)NN,0.414565303
7703,WYMUZQJQRNMLPW-UHFFFAOYSA-N,C1=CC(=CC(=C1)NC(=O)COC2=CC(=CC=C2)Cl)C#N,-4.457442841
7704,VBUYCZFBVCCYFD-NUNKFHFFSA-N,C([C@@H]([C@H]([C@@H](C(=O)C(=O)O)O)O)O)O,0.237316739
7705,VEMGKBUHUTYHHA-UHFFFAOYSA-N,CC1=NN(C(=O)C1)C2=CC(=CC=C2)S(=O)(=O)O,-1.771809587
7706,NPKFETRYYSUTEC-UHFFFAOYSA-N,CCN(CCNS(=O)(=O)C)C1=CC(=C(C=C1)N)C,-1.831512726
7707,JVYDLYGCSIHCMR-UHFFFAOYSA-N,CCC(CO)(CO)C(=O)O,0.516802682
7708,AEKIUMMMGNCKSL-FQKVVJEISA-N,C[C@]12CC[C@@H](C[C@]1([C@@H]3C[C@@H]3[C@@H]4[C@@H]2CC[C@]5([C@H]4[C@@H]6C[C@@H]6[C@]5(C#CCO)O)C)O)O,-2.4600447
7709,FFAQILVGBAELHN-UHFFFAOYSA-N,CCC(C)N1C(=O)N(C=N1)C2=CC=C(C=C2)N3CCN(CC3)C4=CC=C(C=C4)O,-4.828518204
7710,INHXSMASASFALB-UHFFFAOYSA-N,CC1=NN(C(=N)C1)C2=CC(=CC=C2)S(=O)(=O)O,-1.138774844
7711,NRCMAYZCPIVABH-UHFFFAOYSA-N,C1=CC=C2C(=C1)C(=O)C3=CC4=C(C=C3N2)C(=O)C5=CC=CC=C5N4,-7.481772305
7712,MBNGWHIJMBWFHU-UHFFFAOYSA-N,COC1=C(C=C(C=C1)C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O,-6.198754293
7713,OECHJCKPWGMZMG-UHFFFAOYSA-N,C1C(O1)COC(=O)C2=CC(=C(C=C2)C(=O)OCC3CO3)C(=O)OCC4CO4,-2.762258593
7714,KNMQFBWXSICVQC-UHFFFAOYSA-N,C1=CC=C2C(=C1)C(=O)C3=C(C=CC(=C3C2=O)N)C4=C5C(=C(C=C4)N)C(=O)C6=CC=CC=C6C5=O,-7.249878407
7715,PCPATNZTKBOKOY-UHFFFAOYSA-N,CCOC(=O)CCN(C1=CC=CC=N1)C(=O)C2=CC(=C(C=C2)NC)N,-2.316256844
7716,YUOKTNQLLUHUEK-UHFFFAOYSA-N,CCOC(=O)C(=CC1=CC=C(C=C1)C=C(C(=O)OCC)C(=O)OCC)C(=O)OCC,-5.621635892
7717,SQZCAOHYQSOZCE-UHFFFAOYSA-N,CC1=CC=CC=C1N=C(N)N=C(N)N,-1.842235141
7718,WIDNAJNXDPHROL-UHFFFAOYSA-N,CC(C)C(=O)NC1=NC(=CS1)C2=C(C=C(C=C2)O)O,-4.145699453
7719,HVGZPVJKOVJJBL-UHFFFAOYSA-N,CCOC(=O)C(C)(C)C1=CC=C(C=C1)C(=O)CCCN2CCC(CC2)CC(C3=CC=CC=C3)(C4=CC=CC=C4)O,-4.927602111
7720,LIOLIMKSCNQPLV-UHFFFAOYSA-N,CNC(=O)C1=C(C=C(C=C1)C2=NN3C(=CN=C3N=C2)CC4=CC5=C(C=C4)N=CC=C5)F,-5.919863622
7721,FQLZTPSAVDHUKS-UHFFFAOYSA-N,CC1=CC(=C(C=C1)N2C(=O)C3=C4C(=C(C=C3)N)C=CC=C4C2=O)C,-4.891653611
7722,ZIUHHBKFKCYYJD-UHFFFAOYSA-N,C=CC(=O)NCNC(=O)C=C,-0.655240423
7723,KDLDNQQRGJAGIS-UHFFFAOYSA-N,CC1=CC=CC=C1NC(=O)C2=CC3=CC=CC=C3C(=C2O)N=NC4=C(C=C(C=C4)[N+](=O)[O-])C,-7.981146079
7724,SEHQVBVJJRRRSG-UHFFFAOYSA-N,COC1=CC=C(C=C1)N2CCN(CC2)C3=CC=C(C=C3)N4C=NNC4=O,-6.488905804
7725,TXKSEEXWAGLOIY-UHFFFAOYSA-N,CCOC1=C(C=C(C=C1)S(=O)(=O)N2CCN(CC2)C)C(=O)O,-1.507779701
7726,QDWVMPWRBMUURS-UHFFFAOYSA-N,CC1=CC(=O)OC2=C1C=CC(=C2)OCC(=O)NC3=NN=CS3,-4.401124984
7727,XRMBQHTWUBGQDN-UHFFFAOYSA-N,CCC(COCC(CC)(COC(=O)C=C)COC(=O)C=C)(COC(=O)C=C)COC(=O)C=C,-4.49278571
7728,NWODYZCQADERLP-VHEBQXMUSA-N,CCCCCCCCCCCCCCCCCCNC(=O)/C=C/C(=O)O,-4.794488992
7729,USGKHYXJISAYPE-CCEZHUSRSA-N,CC(C)N1C2=CC=CC=C2C(=C1/C=C/C(CC(CC(=O)OC(C)(C)C)O)O)C3=CC=C(C=C3)F,-6.624532298
7730,GLVDLLVMSDGVDA-UHFFFAOYSA-N,CCOC(=O)OCCOC1=C(C2=C(C(=C1)O)C(=O)C3=CC=CC=C3C2=O)N,-9.219530498
7731,PJILQVVUGZBIRF-UHFFFAOYSA-N,CCCCN1C(=C(C(=C(C1=O)N=NC2=CC=C(C=C2)C(=O)OCC3=CC=CC=C3)C)C#N)O,-7.267660524
7732,ZEWLHMQYEZXSBH-UHFFFAOYSA-N,CC(=C)C(=O)OCCOC(=O)CCC(=O)O,-0.706710803
7733,YRRWQMBIMZMVDB-UHFFFAOYSA-N,CCCC1=NC(=C2N1NC(=NC2=O)C3=CC=CC=C3OCC)C,-4.655821061
7734,IXIGWKNBFPKCCD-UHFFFAOYSA-N,CCCCCCCC(=O)C1=CC(=C(C=C1)O)C(=O)O,-3.948936102
7735,ASVQNGFDDHFBPT-UHFFFAOYSA-N,CCCCC(=O)OCC(=O)C1C(CC2C1(CC(C3C2CC(C4=CC(=O)C=CC34C)F)O)C)C,-6.487218248
7736,CISVVDNATRQDNU-UHFFFAOYSA-N,CNS(=O)(=O)C1=C(C=C(C(=C1)OC)N)OC,-3.651067513
7737,KWAKSEGGFHCMJS-UHFFFAOYSA-N,CC(C)CCCCCC(=O)NCCCCCC(=O)O,-2.752367006
7738,HDIHOAXFFROQHR-UHFFFAOYSA-N,C(CCCNC(=O)O)CCN,-0.09529501
7739,UVCJGUGAGLDPAA-UHFFFAOYSA-N,C1=CC=C(C=C1)C2=NC3=C(N2)C=C(C=C3)S(=O)(=O)O,-3.400789177
7740,RQNAOIQEGPVYTC-UHFFFAOYSA-N,CCOC(=O)C1=NN(C2=C1CCN(C2=O)C3=CC=C(C=C3)[N+](=O)[O-])C4=CC=C(C=C4)OC,-6.61871853
7741,LSNHGJLDZWNVLR-UHFFFAOYSA-N,CC(=O)OCC1C(C(C(C(O1)SC2=CC=CC3=CC=CC=C32)OC(=O)C)OC(=O)C)OC(=O)C,-4.013966651
7742,MFYSUUPKMDJYPF-UHFFFAOYSA-N,CC1=CC(=C(C=C1)N=NC(C(=O)C)C(=O)NC2=CC=CC=C2)[N+](=O)[O-],-7.417966835
7743,VPWNQTHUCYMVMZ-UHFFFAOYSA-N,C1=CC(=CC=C1O)S(=O)(=O)C2=CC=C(C=C2)O,-2.357013679
7744,NIAYDOWGZDIMJA-UHFFFAOYSA-N,CC1=CC(=CN2C1C(=C(C(=C2C(=O)OC)C(=O)OC)C(=O)OC)C(=O)OC)C,-2.260237425
7745,YZJSKRBKHCLMQC-UHFFFAOYSA-N,C1=CC=C2C=C(C(=CC2=C1)C(=O)NC3=CC(=CC=C3)[N+](=O)[O-])O,-6.643865342
7746,HEAHMJLHQCESBZ-UHFFFAOYSA-N,C1=CC(=C(C=C1N)S(=O)(=O)O)N,-1.672561474
7747,MOAPNXVHLARBNQ-UHFFFAOYSA-N,CN(C)C(=O)NC1=CC=C(C=C1)CC2=CC=C(C=C2)NC(=O)N(C)C,-3.878807912
7748,IQFYYKKMVGJFEH-UHFFFAOYSA-N,CC1=CN(C(=O)NC1=O)C2CC(C(O2)CO)O,-0.742062088
7749,BGLZECVIKIGPIF-UHFFFAOYSA-N,C1=CC=C(C=C1)NC(=O)NC2=CC=CC=C2NS(=O)(=O)C3=CC=CC=C3,-4.57839295
7750,KGZUHYIHYBDNLC-UHFFFAOYSA-N,CC1=C(C2=C(C=C1)N=C(S2)C3=CC=C(C=C3)N)S(=O)(=O)O,-4.332479671
7751,LJGHYPLBDBRCRZ-UHFFFAOYSA-N,C1=CC(=CC(=C1)S(=O)(=O)C2=CC=CC(=C2)N)N,-3.511881612
7752,FXNSVEQMUYPYJS-UHFFFAOYSA-N,C1=CC(=CC=C1CCN)S(=O)(=O)N,-1.11125167
7753,OWICEWMBIBPFAH-UHFFFAOYSA-N,C1=CC=C(C=C1)OP(=O)(OC2=CC=CC=C2)OC3=CC(=CC=C3)OP(=O)(OC4=CC=CC=C4)OC5=CC=CC=C5,-5.738072234
7754,BBFJODMCHICIAA-UHFFFAOYSA-N,C1=C(C=C(C(=C1[N+](=O)[O-])O)O)C=O,-1.937836757
7755,BABJNKGTTYCTOO-ULCDLSAGSA-N,C1CO[C@H]2[C@@H]1C3=C(O2)C=C4C(=C3O)C(=O)C5=C(C4=O)C=C(C=C5O)O,-5.327727417
7756,VPPJLAIAVCUEMN-GFCCVEGCSA-N,CC(=O)N[C@H](COC)C(=O)NCC1=CC=CC=C1,-0.918448354
7757,HXZRLUTUNSQNCG-UHFFFAOYSA-N,C1CCC(=O)N(CC1)C(=O)C2=CC(=CC=C2)C(=O)N3CCCCCC3=O,-3.958344489
7758,FANLHXKNWWSLIG-UHFFFAOYSA-N,C1=CC(=CC=C1C(=O)N)NC(=O)C2=CC=C(C=C2)[N+](=O)[O-],-4.936724807
7759,IFYVAPPYWOMVDP-UHFFFAOYSA-N,CC(=O)OCCCNC(=O)C(C(C)(C)COC(=O)C)OC(=O)C,-0.056413646
7760,OWGJODGIHAHWQP-GFCQZRJLSA-N,CC(CN/C=C\1/C=CC=CC1=O)N/C=C\2/C=CC=CC2=O,-3.172020963
7761,QJTIRVUEVSKJTK-UHFFFAOYSA-N,C1(=NC(=O)NN1)[N+](=O)[O-],-0.878624652
7762,AZXGXVQWEUFULR-UHFFFAOYSA-N,C1=CC=C(C(=C1)C2=C3C=C(C(=O)C(=C3OC4=C(C(=C(C=C24)Br)O)Br)Br)Br)C(=O)O,-0.692810925
7763,DZEAFYQJPRVNIQ-UHFFFAOYSA-N,CC(C)(C)OC(=O)NC(C(=O)N1C(CC2C1C2)C#N)C34CC5CC(C3)CC(C5)(C4)O,-2.682057286
7764,FNELVJVBIYMIMC-UHFFFAOYSA-N,CCS(=O)C1=C(N(N=C1C#N)C2=C(C=C(C=C2Cl)C(F)(F)F)Cl)N,-4.635221412
7765,GXRSWJXJKSUYHZ-UHFFFAOYSA-N,CC1=C(C=CC(=C1)OC(=O)C2=CC=C(C=C2)O)OC(=O)C3=CC=C(C=C3)O,-7.017455259
7766,KXPSHSVVYGZKAV-UHFFFAOYSA-N,CC(=O)OCC(CCN1C=NC2=C1N=C(N=C2Cl)N)COC(=O)C,-2.93839804
7767,JXJAJSNUTGVHEG-WLDNQIQOSA-N,C[C@@H]1C[C@H]2[C@@H]3C[C@@H](C4=CC(=O)CC[C@@]4([C@H]3[C@H](C[C@@]2([C@H]1C(=O)COC(=O)C)C)O)C)F,-6.172000323
7768,OYNOCRWQLLIRON-UHFFFAOYSA-N,CC1(CC(CC(N1)(C)C)NC(=O)C2=CC(=CC=C2)C(=O)NC3CC(NC(C3)(C)C)(C)C)C,-3.503039193
7769,USFSONWQSVCJBO-UHFFFAOYSA-N,C1=CC=C(C=C1)NC2=CC(=C3C(=C2)C=CC=C3S(=O)(=O)O)NC4=CC=CC=C4,-4.672493786
7770,CZAUMIGWDFREBR-UHFFFAOYSA-N,CC1CC(NC(=O)N1)NC(=O)N,-1.531419396
7771,XNXYNGQBOWXCJQ-UHFFFAOYSA-N,CC(=C)C(=O)OCCOC(=O)C1=C(C=CC=C1C(=O)O)CC(CCl)O,-2.805695217
7772,MOUVJGIRLPZEES-UHFFFAOYSA-N,CC(=O)CC(=O)NC1=CC(=C(C=C1OC)Cl)OC,-2.979244619
7773,LZTSCEYDCZBRCJ-UHFFFAOYSA-N,C1=NC(=O)NN1,-0.048938335
7774,RXOHFPCZGPKIRD-UHFFFAOYSA-N,C1=CC2=C(C=CC(=C2)C(=O)O)C=C1C(=O)O,-7.857719972
7775,GDPVISFVPDYFPN-UHFFFAOYSA-N,C1=CC=C(C(=C1)NP(=O)(N)N)[N+](=O)[O-],-2.190464135
7776,NEQFBGHQPUXOFH-UHFFFAOYSA-N,C1=CC(=CC=C1C2=CC=C(C=C2)C(=O)O)C(=O)O,-2.148700558
7777,YFYDYMYITUSDEE-WQRHYEAKSA-N,CC(=O)O/N=C(/C1=CSC(=N1)N)\C(=O)SC2=NC3=CC=CC=C3S2,-6.693765969
7778,LHSCNQRBIIDZCB-UHFFFAOYSA-N,CC(C)(C)C(CCC(=O)O)CC(=O)O,-1.616579242
7779,HSXZUJITRDSCOP-FKEPNHGQSA-N,CCCCCCCCCCCCC1=CC=C(C=C1)N/N=C/2\C=CC(=O)/C(=N/NC3=CC=C(C=C3)CCCCCCCCCCCC)/C2=O,-8.436015073
7780,BPXVHIRIPLPOPT-UHFFFAOYSA-N,C(CO)N1C(=O)N(C(=O)N(C1=O)CCO)CCO,0.340366328
7781,YGNDWDUEMICDLW-UHFFFAOYSA-N,C1=CC=C(C=C1)NC2=CC3=CC(=CC(=C3C=C2)O)S(=O)(=O)O,-2.729428027
7782,MSRUOXBBGPWHEG-UHFFFAOYSA-N,CC(=O)NC1=CC=C(C=C1)NC(=O)C2=CC3=CC=CC=C3C=C2O,-5.250348156
7783,DMACYVMZKYRYSL-WEVVVXLNSA-N,COC1=C(C=C(C=C1)/C=C(\C#N)/C(=O)O)OC,-1.655116089
7784,SALNWJHEVGXTER-UHFFFAOYSA-N,COC(=O)C(CCN1C=NC2=C1N=C(N=C2Cl)N)C(=O)OC,-2.918694889
7785,OWMVSZAMULFTJU-UHFFFAOYSA-N,C(CO)N(CCO)C(CO)(CO)CO,0.442704661
7786,PHRVJZNHPVJYOM-UHFFFAOYSA-N,CC(=O)NC1=CC(=C(C=C1)N)S(=O)(=O)O,-1.231843236
7787,WJMJXFIZZSXKST-UHFFFAOYSA-N,CC1CC(=O)NN=C1C2=CC(=C(C=C2)NC(=O)C3=CC=C(C=C3)OC)N,-4.654931438
7788,KYARBIJYVGJZLB-UHFFFAOYSA-N,C1=CC2=C(C=C(C=C2C=C1N)S(=O)(=O)O)O,-1.679873592
7789,VYYKGEAVUMSSBR-UHFFFAOYSA-N,CCCCOCCOCCOCCOC(=O)CCCC(=O)OCCOCCOCCOCCCC,-6.007447508
7790,NZUPFZNVGSWLQC-UHFFFAOYSA-N,C(C(CBr)Br)N1C(=O)N(C(=O)N(C1=O)CC(CBr)Br)CC(CBr)Br,-5.157536519
7791,YONLFQNRGZXBBF-ZIAGYGMSSA-N,C1=CC=C(C=C1)C(=O)O[C@H]([C@H](C(=O)O)OC(=O)C2=CC=CC=C2)C(=O)O,-2.049101436
7792,HSHGZXNAXBPPDL-HZGVNTEJSA-N,CC(=O)OCC1=C(N2[C@@H]([C@@H](C2=O)N)SC1)C(=O)O,-2.648966875
7793,SHEAESWCGNXJKS-UHFFFAOYSA-N,CC(C)C1=C(N(C(=N1)CCOC(=O)N)CC2=CC=CC=C2N)SC3=CC(=CC(=C3)Cl)Cl,-5.203597792
7794,KODLDJGSBFMSDG-UHFFFAOYSA-N,C1=CC=C(C=C1)C2=NC(=O)N=C(N2)C3=CC=CC=C3,-5.493582466
7795,VKURVCNKVWKGLX-UHFFFAOYSA-N,C1=CC(=CC=C1N)NC2=C(C=C(C=C2)N)S(=O)(=O)O,-2.792878636
7796,SNPBHOICIJUUFB-UHFFFAOYSA-N,CC(C)C(=O)C(C(C1=CC=CC=C1)C(=O)C2=CC=C(C=C2)F)C(=O)NC3=CC=CC=C3,-6.140627588
7797,PSIFNNKUMBGKDQ-UHFFFAOYSA-N,CCCCC1=NC(=C(N1CC2=CC=C(C=C2)C3=CC=CC=C3C4=NNN=N4)CO)Cl,-4.945013187
7798,SHDHHSNRYVKCRF-UHFFFAOYSA-N,CC1=C(C(C(=C(N1)COCCN2C(=O)C3=CC=CC=C3C2=O)C(=O)OC)C4=CC=CC=C4Cl)C(=O)OC,-4.489674562
7799,NFYQAEPHDGXJSY-UHFFFAOYSA-N,COC1=CC(=C(C=C1N)OC)S(=O)(=O)NC2=CC=CC=C2,-4.05768216
7800,KWBCXNHXXWZCMM-UHFFFAOYSA-N,CC(C)(C)C1=CC=C(C=C1)NC2=C3C(=C(C=C2)NC4=CC=C(C=C4)C(C)(C)C)C(=O)C5=C(C=CC(=C5C3=O)O)O,-8.652525534
